"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:109","Joey","[Cut back inside to Joey giving a beautiful woman a tennis lesson by standing behind her.]","[Cut back inside to Joey giving a beautiful woman a tennis lesson by standing behind her.]",1,"`text`"
"Col:text Row:111","Chandler","[Cut to Chandler sitting down near Joey as his mom walks over.","[Cut to Chandler sitting down near Joey as his mom walks over. His birth mother, not the mother who recently visited one of those clinics in Sweden.]",1,"`text`"
"Col:text Row:111","Joey","[Cut to Chandler sitting down near Joey as his mom walks over.","[Cut to Chandler sitting down near Joey as his mom walks over. His birth mother, not the mother who recently visited one of those clinics in Sweden.]",1,"`text`"
"Col:text Row:111","Sweden","His birth mother, not the mother who recently visited one of those clinics in Sweden.]","[Cut to Chandler sitting down near Joey as his mom walks over. His birth mother, not the mother who recently visited one of those clinics in Sweden.]",1,"`text`"
"Col:text Row:112","Dennis","I'd like you to meet Dennis Phillips.","Chandler darling! Look, my date has finally arrived. I'd like you to meet Dennis Phillips.",1,"`text`"
"Col:text Row:112","Phillips","I'd like you to meet Dennis Phillips.","Chandler darling! Look, my date has finally arrived. I'd like you to meet Dennis Phillips.",1,"`text`"
"Col:speaker Row:112","Nora","Nora Tyler Bing","Nora Tyler Bing",4,"`speaker`"
"Col:speaker Row:112","Tyler","Nora Tyler Bing","Nora Tyler Bing",4,"`speaker`"
"Col:speaker Row:112","Bing","Nora Tyler Bing","Nora Tyler Bing",4,"`speaker`"
"Col:speaker Row:113","Dennis","Dennis Phillips","Dennis Phillips",9,"`speaker`, `text`"
"Col:speaker Row:113","Phillips","Dennis Phillips","Dennis Phillips",9,"`speaker`, `text`"
"Col:text Row:115","Dennis","Dennis is a dear old friend and a fantastic lover.","Dennis is a dear old friend and a fantastic lover.",1,"`text`"
"Col:text Row:116","Bravo","Bravo Dennis thanks for pleasing my mother so.","Bravo Dennis thanks for pleasing my mother so.",1,"`text`"
"Col:text Row:116","Dennis","Bravo Dennis thanks for pleasing my mother so.","Bravo Dennis thanks for pleasing my mother so.",1,"`text`"
"Col:text Row:118","Dennis","Oh yes, Dennis is directing a new Broadway show.","Oh yes, Dennis is directing a new Broadway show.",1,"`text`"
"Col:text Row:118","Broadway","Oh yes, Dennis is directing a new Broadway show.","Oh yes, Dennis is directing a new Broadway show.",1,"`text`"
"Col:text Row:119","Joey","I don't believe we've met, Joey Tribbiani.","I don't believe we've met, Joey Tribbiani.",1,"`text`"
