"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:100","Banquet","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]",1,"`text`"
"Col:text Row:100","Room","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]",1,"`text`"
"Col:text Row:100","Chandler","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]",1,"`text`"
"Col:text Row:100","Ross","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]","[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]",1,"`text`"
"Col:text Row:101","Chandler","Chandler?","Chandler?",1,"`text`"
"Col:text Row:104","Celebrating","Celebrating.","Yes! And that's why I'm under the table. Celebrating.",1,"`text`"
"Col:text Row:106","Monica","Y'know, those cameras were the only thing that was gonna cheer Monica up today, she's really depressed.","Well this is great. Y'know, those cameras were the only thing that was gonna cheer Monica up today, she's really depressed.",1,"`text`"
"Col:text Row:116","Monica","I don't know, Monica picked out the flowers.","I don't know, Monica picked out the flowers.",1,"`text`"
"Col:text Row:124","Central","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]",1,"`text`"
"Col:text Row:124","Perk","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]",1,"`text`"
"Col:text Row:124","Rachel","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]",1,"`text`"
"Col:text Row:124","Phoebe","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]","[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]",1,"`text`"
