text,speaker,season,episode,scene,utterance
"Honey, I'm not even going to pretend I was listening. Hey! Hey!",Monica Geller,8,1,3,41
"[Cut to the hallway outside the room, Ross is going to see which table he's at and sees a beautiful woman doing the same thing.]",Scene Directions,8,1,3,42
"Hi. I'm uh, I'm Ross. I don't, I don't believe we've met. I'm Monica's older brother.",Ross Geller,8,1,3,43
"Oh hi, I'm, I'm Mona from her restaurant.",Woman,8,1,3,44
"Oh! Hello uh, Mona from her restaurant. Mona, wow what a, what a beautiful name.",Ross Geller,8,1,3,45
You think so? I've always kinda hated it.,Mona,8,1,3,46
"Aw come on, Mona Lisa?",Ross Geller,8,1,3,47
Uh-huh.,Mona,8,1,3,48
"Mona umm...Clickclocken. The famous botanist? Huh? Oh no she's uh-well she's dead now. No, supposedly she was once quite the hottie of the plant world.",Ross Geller,8,1,3,49
Really?! Well see? I never knew about her.,Mona,8,1,3,50
"Linda Clickclocken. So what uh, what-what table are you at? Oh, uh me too.",Ross Geller,8,1,3,51
Oh good. Now there'll be someone there who likes my name.,Mona,8,1,3,52
"Yes there will. Oh guess what, Molly Gilbert you've just been bumped up to table one. And if it's all right with you I'm gonna take your place at table six-Martin Clickclocken.",Ross Geller,8,1,3,53
[Cut back inside to Joey giving a beautiful woman a tennis lesson by standing behind her.],Scene Directions,8,1,3,54
"That's better, now just bend your arms a little more. There you go. Okay, look straight ahead. Now this time I want you to really put your ass into it.",Joey Tribbiani,8,1,3,55
"[Cut to Chandler sitting down near Joey as his mom walks over. His birth mother, not the mother who recently visited one of those clinics in Sweden.]",Scene Directions,8,1,3,56
"Chandler darling! Look, my date has finally arrived. I'd like you to meet Dennis Phillips.",Nora Tyler Bing,8,1,3,57
Congratulations.,Dennis Phillips,8,1,3,58
Thank you.,Chandler Bing,8,1,3,59
Dennis is a dear old friend and a fantastic lover.,Nora Tyler Bing,8,1,3,60
Bravo Dennis thanks for pleasing my mother so.,Chandler Bing,8,1,3,61
"Oh, I'm so sorry I missed the ceremony, I was stuck at auditions.",Dennis Phillips,8,1,3,62
"Oh yes, Dennis is directing a new Broadway show.",Nora Tyler Bing,8,1,3,63
"I don't believe we've met, Joey Tribbiani.",Joey Tribbiani,8,1,3,64
Dennis Phillips,Dennis Phillips,8,1,3,65
"Wow, I've admired your work for years. You-you've done some really amazing stuff.",Joey Tribbiani,8,1,3,66
"Oh, thank you. Well if you'll excuse me, I'm gonna go get myself a drink. Be back in a moment.",Dennis Phillips,8,1,3,67
Wow Dennis Phillips! That's great! How did you guys meet?,Joey Tribbiani,8,1,3,68
"Well, it's a funny story.",Nora Tyler Bing,8,1,3,69
Funny: Ha-Ha Or Funny,Chandler Bing,8,1,3,70
[Time lapse. The band is finishing another song.],Scene Directions,8,1,3,71
"Thank you, thank you very much. If everyone will please take your seats, dinner will be served.",Bandleader,8,1,3,72
(Ross starts looking for table six and finds out that it's the kid's table. He sees Mona sitting at another table.),Scene Directions,8,1,3,73
"Hey! Uh, I thought, I thought you were at table six.",Ross Geller,8,1,3,74
"No, nine.",Mona,8,1,3,75
"Oh see, before you uh, when you showed it to me you-you held it that way which uh, which was misleading. Well I'm... Hello.",Ross Geller,8,1,3,76
"[Cut to the hallway, Chandler is putting tape on the bottom of his shoes.]",Scene Directions,8,1,3,77
"Chandler. Will you see if your mom can give my resume to Dennis Phillips? 'Cause if I can get in a Broadway show then I would've done it all, film, television, and theater. The only think left would be radio, and that's just for ugly people.",Joey Tribbiani,8,1,3,78
What size shoes do you wear?,Chandler Bing,8,1,3,79
"Uh, eleven, eleven and a half.",Joey Tribbiani,8,1,3,80
"Great, because my shoes are giving me a little problem on the dance floor, can I borrow the boots from your costume?",Chandler Bing,8,1,3,81
"Uh, I don't even really know where I left those. Sorry.",Joey Tribbiani,8,1,3,82
Those aren't eleven and a half.,Chandler Bing,8,1,3,83
"Okay fine! I'm a seven! All right, I have surprisingly small feet. But the rest of me is good, I'll show ya!",Joey Tribbiani,8,1,3,84
[Cut to Monica and Rachel at their table.],Scene Directions,8,1,3,85
Can you believe Phoebe got pregnant?!,Monica Geller,8,1,3,86
Oh y'know what honey? Let's not talk about that right now?,Rachel Green,8,1,3,87
This is so huge.,Monica Geller,8,1,3,88
"Sure, but come on, as big as your wedding?",Rachel Green,8,1,3,89
Of course not nothing is. Between me and you...,Monica Geller,8,1,3,90
Yeah.,Rachel Green,8,1,3,91
...in this day and age how dumb do you have to be to get pregnant?,Monica Geller,8,1,3,92
"Hey! Y'know, sometimes you can do everything right, everyone can wear everything they're supposed to wear, and one of those little guys just gets through!",Rachel Green,8,1,3,93
How?,Monica Geller,8,1,3,94
I don't know! Maybe they have tools.,Rachel Green,8,1,3,95
"Well I-I talked to and uh, she's definitely going to have this baby. Y'know, she said she was gonna raise it on her own.",Monica Geller,8,1,3,96
"Well, maybe that's, maybe that's really brave.",Rachel Green,8,1,3,97
Maybe. I just hope she realizes how hard it's gonna be.,Monica Geller,8,1,3,98
Maybe she hasn't really thought it through that well.,Rachel Green,8,1,3,99
"Well, there's a lot to think about. I mean, how is she, how is she going to handle this financially? How is she going to juggle work? Does she realize she's not going to have a date again for the next eighteen years?",Monica Geller,8,1,3,100
I don't know.,Rachel Green,8,1,3,101
Are you okay?,Monica Geller,8,1,3,102
Uh-hmm. I'm just thinking about Phoebe; poor knocked up Phoebe.,Rachel Green,8,1,3,103
Champagne?,Waiter,8,1,3,104
Oh yes! Thank you very much! Oh that's-that's actually how the French drink it.,Rachel Green,8,1,3,105
(Monica gasps.),Scene Directions,8,1,3,106
"[Scene: continued from earlier, only now Phoebe joins them.]",Scene Directions,8,1,4,1
"Well, I just got off the phone with my lover, James Brolin...",Phoebe Buffay,8,1,4,2
Oh really?!,Monica Geller,8,1,4,3
"Yes, and apparently he is married to some singer, but he said he would leave her for me. And I said, ""James, James Brolin, are you sure?"" James Brolin said...",Phoebe Buffay,8,1,4,4
Rachel's really the one who's pregnant.,Monica Geller,8,1,4,5
What?! Why bother?,Phoebe Buffay,8,1,4,6
How do you feel?,Monica Geller,8,1,4,7
I don't know. I don't know how I feel. This is all happening so fast. I have to make all these decisions that I don't want to make. Somebody just take this away from me!!,Rachel Green,8,1,4,8
Calm down. Maybe you're not pregnant.,Phoebe Buffay,8,1,4,9
