text,speaker,season,episode,scene,utterance
"[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]",Scene Directions,8,3,3,1
Next?,Ticket Agent,8,3,3,2
(The kissing couple doesn't move.),Scene Directions,8,3,3,3
They're kissing let's just go around them.,Monica Geller,8,3,3,4
"Oh honey, leave them alone, they're in love.",Chandler Bing,8,3,3,5
I'm in love too! But in an orderly fashion.,Monica Geller,8,3,3,6
Next?,Ticket Agent,8,3,3,7
"Hi! Can you do that and walk? 'Cause she said, ""Next.""",Monica Geller,8,3,3,8
(The couple moves up to the counter.),Scene Directions,8,3,3,9
Sorry. We didn't hear you; we're on our honeymoon.,Woman,8,3,3,10
"Oh, let me see what I can do. There are some first class seats available.",Ticket Agent,8,3,3,11
Did you hear that?! They bumped them up to first class because they are on their honeymoon! Come on! Let's act like we're on our honeymoon.,Monica Geller,8,3,3,12
We are on our honeymoon.,Chandler Bing,8,3,3,13
Grab my ass!,Monica Geller,8,3,3,14
Next?,Ticket Agent,8,3,3,15
(They go up to the counter.),Scene Directions,8,3,3,16
"Hi, sorry. I almost didn't hear you, because y'know I'm just so in love with my new husband. We're on our honeymoon.",Monica Geller,8,3,3,17
"Congratulations. Okay, Mr. Bing you'll be in 25J and Mrs. Bing you'll be in 25K.",Ticket Agent,8,3,3,18
"Oh no, you see we're on our honeymoon. So umm, can you do your little thing and bump us up to first class?",Monica Geller,8,3,3,19
"I'm sorry, all our first class seats are taken. That couple got the last two.",Ticket Agent,8,3,3,20
"You see, if we'd gone around them like I said, we-She would've given us those tickets. Damnit!",Monica Geller,8,3,3,21
"25J and K, any chance those aren't together?",Chandler Bing,8,3,3,22
"[Scene: Joey and Rachel's, Phoebe and Joey are playing Rock 'em, Sock 'em Robots.]",Scene Directions,8,3,4,1
I still can't believe they took away my key. You trust me with yours.,Joey Tribbiani,8,3,4,2
Of course I do! And I'm gonna give it back to you as soon as they're done with it at the key shining place.,Phoebe Buffay,8,3,4,3
(They hear a knocking sound coming from the hallway and go to investigate.),Scene Directions,8,3,4,4
What the hell is that?,Joey Tribbiani,8,3,4,5
(They go into the hallway and see Mr. Treeger watching one of New York's bravest breakdown Monica and Chandler's door with an ax.],Scene Directions,8,3,4,6
